topk,Triton [FP16],Flash-2
0.000000,0.613478,180.863998
5.000000,7.821627,180.118530
10.000000,14.057619,180.244476
15.000000,20.312065,180.683777
20.000000,26.463572,180.831238
25.000000,32.605865,180.845566
30.000000,38.603264,181.179398
35.000000,44.749313,182.011902
40.000000,50.420734,181.392380
45.000000,56.219646,182.552582
50.000000,62.074879,183.682053
55.000000,68.560898,184.605698
60.000000,74.033150,184.094727
65.000000,79.483902,183.969788
70.000000,85.058563,183.512070
75.000000,90.915840,182.990845
80.000000,95.285248,183.476227
85.000000,101.292030,182.315002
90.000000,107.092995,184.198151
95.000000,112.056320,182.600708
100.000000,117.493759,183.203842
105.000000,122.973183,183.150589
110.000000,128.431107,182.892548
115.000000,133.618683,183.812103
120.000000,138.371078,183.615494
125.000000,142.769150,184.199173
130.000000,147.033081,183.629822
135.000000,151.908356,183.227386
140.000000,156.576767,182.666245
