topk,Triton-fp16,Torch-fp16
0.000000,1.356816,3.792773
5.000000,2.815659,5.254827
10.000000,2.823199,5.265749
15.000000,2.829250,5.271324
20.000000,2.839893,5.281792
25.000000,2.846006,5.289927
30.000000,2.844517,5.286400
35.000000,3.109001,5.552429
40.000000,3.108318,5.550622
45.000000,3.109683,5.550381
50.000000,3.106748,5.551526
55.000000,3.108864,5.552309
60.000000,3.110161,5.553393
65.000000,3.110059,5.553031
70.000000,3.114052,5.556525
75.000000,3.114394,5.556947
80.000000,3.111424,5.553815
85.000000,3.111732,5.554839
90.000000,3.111629,5.555923
95.000000,3.110605,5.552007
100.000000,3.110570,5.555441
