topk,Triton [FP16],Flash-2
1.000000,2.812167,181.395462
2.000000,7.855104,180.960251
3.000000,10.836308,181.014526
4.000000,13.729354,181.372925
5.000000,16.521044,181.536774
6.000000,19.396198,181.314560
7.000000,22.288895,181.061630
8.000000,25.120087,181.049347
9.000000,28.029268,181.013504
10.000000,30.849707,182.014969
11.000000,33.594879,181.409790
12.000000,36.490753,181.653503
13.000000,39.187454,181.971970
14.000000,41.976318,183.221252
15.000000,44.744194,182.998016
16.000000,47.502335,186.253311
17.000000,50.239487,184.962051
18.000000,52.984833,183.953415
19.000000,55.707649,185.101318
20.000000,58.432510,183.482361
21.000000,61.103104,186.819580
22.000000,63.816704,185.249786
23.000000,66.523132,184.182785
24.000000,69.121025,186.702850
25.000000,71.837692,185.280518
