topk,Triton [FP16],Flash-2
1.000000,1.004828,91.987968
2.000000,2.243657,92.082176
3.000000,2.906272,92.667908
4.000000,3.574632,92.384254
5.000000,4.211945,92.849152
6.000000,4.856269,92.281853
7.000000,5.501952,92.312576
8.000000,6.180480,91.995132
9.000000,6.876745,92.439552
10.000000,7.453697,92.324867
11.000000,8.100608,93.881348
12.000000,8.754549,92.733437
13.000000,9.402675,93.090813
14.000000,10.091634,93.204483
15.000000,10.727993,93.194237
16.000000,11.363712,93.201408
17.000000,12.060160,93.196289
18.000000,12.665709,94.001152
19.000000,13.327214,93.213699
20.000000,13.975991,93.398018
21.000000,14.650708,93.196289
22.000000,15.360343,92.659714
23.000000,15.924736,92.958717
24.000000,16.579788,93.530113
25.000000,17.261362,93.193214
