topk,Triton [FP16],Flash-2
1.000000,0.999436,46.163456
2.000000,2.314815,46.819839
3.000000,2.929571,46.223358
4.000000,3.574405,46.494720
5.000000,4.202006,46.697472
6.000000,4.834509,46.785538
7.000000,5.497458,46.772224
8.000000,6.105600,46.720001
9.000000,6.743333,46.833664
10.000000,7.485440,47.106049
11.000000,8.124417,47.055870
12.000000,8.751756,47.460350
13.000000,9.395303,47.096832
14.000000,10.087765,47.114239
15.000000,10.709105,47.123459
16.000000,11.382143,46.902271
17.000000,12.007168,47.434753
18.000000,12.690725,47.270912
19.000000,13.339941,47.358978
20.000000,13.964726,47.357952
21.000000,14.606677,47.407616
22.000000,15.289685,47.097343
23.000000,15.906474,47.065598
24.000000,16.560982,46.915070
25.000000,17.207912,47.095295
