topk,Triton [FP16],Flash-2
1.000000,1.000255,91.981827
2.000000,2.238951,92.132355
3.000000,2.906432,92.574722
4.000000,3.568679,92.098557
5.000000,4.232771,91.995132
6.000000,4.855501,92.289024
7.000000,5.502314,92.874748
8.000000,6.148096,93.202431
9.000000,6.831909,92.484612
10.000000,7.452515,92.710915
11.000000,8.099584,92.284927
12.000000,8.833117,92.747772
13.000000,9.402675,93.846527
14.000000,10.097095,92.261375
15.000000,10.728447,93.194237
16.000000,11.361536,93.146111
17.000000,12.011136,93.197311
18.000000,12.708864,93.116417
19.000000,13.315364,93.200386
20.000000,14.041819,94.210045
21.000000,14.658048,92.928001
22.000000,15.263233,93.500420
23.000000,16.018431,93.822975
24.000000,16.577946,93.618179
25.000000,17.229620,93.691902
