topk,Triton [FP16],Flash-2
1.000000,1.096231,45.890560
2.000000,1.862695,46.690304
3.000000,2.484224,47.039490
4.000000,3.098531,46.667263
5.000000,3.679346,46.812675
6.000000,4.278494,47.074303
7.000000,4.885065,46.850559
8.000000,5.467079,47.324673
9.000000,6.104320,47.188480
10.000000,6.663305,47.079422
11.000000,7.288686,47.420929
12.000000,7.846834,47.100418
13.000000,8.426667,47.111168
14.000000,9.097030,47.072769
15.000000,9.589964,47.198208
16.000000,10.162483,47.316483
17.000000,10.740396,47.972351
18.000000,11.308288,47.099903
19.000000,11.883519,47.618050
20.000000,12.437887,47.071743
21.000000,13.015039,46.914558
22.000000,13.572974,47.417343
23.000000,14.139246,47.231998
24.000000,14.734336,47.488510
25.000000,15.249748,47.302658
