topk,Triton [FP16],Flash-2
1.000000,1.388589,45.207550
2.000000,3.763086,44.905983
3.000000,5.175859,44.951042
4.000000,6.532736,44.933121
5.000000,7.889053,44.871170
6.000000,9.240110,44.875263
7.000000,10.546177,44.880383
8.000000,11.863680,44.966911
9.000000,13.184439,44.896255
10.000000,14.464000,45.034496
11.000000,15.770453,44.919807
12.000000,17.019291,44.901886
13.000000,18.274509,44.993538
14.000000,19.529116,44.931072
15.000000,20.766464,44.981247
16.000000,21.985537,44.953602
17.000000,23.214592,44.978176
18.000000,24.413952,45.018112
19.000000,25.622187,44.922878
20.000000,26.808319,44.912643
21.000000,27.991037,44.987392
22.000000,29.156693,45.026817
23.000000,30.303574,44.932098
24.000000,31.432703,44.974083
25.000000,32.595287,44.884991
26.000000,33.706497,44.985855
27.000000,34.838017,44.991489
28.000000,35.933182,44.910591
29.000000,37.051392,45.053955
30.000000,38.131714,44.886017
31.000000,39.202301,45.087234
32.000000,40.247810,44.883453
33.000000,41.301506,44.888573
34.000000,42.464767,44.892159
35.000000,43.398148,45.114368
36.000000,44.429825,44.940800
37.000000,45.423103,44.893185
38.000000,46.429695,44.878334
39.000000,47.444481,44.864513
40.000000,48.413696,44.915199
41.000000,49.398270,45.022720
42.000000,50.365440,44.972542
43.000000,51.327999,45.117439
44.000000,52.278271,44.917759
45.000000,53.194752,44.939774
46.000000,54.121471,44.965378
47.000000,55.073792,45.100033
48.000000,55.973888,44.892670
49.000000,56.835072,45.112831
50.000000,57.720833,45.866497
