topk,Triton [FP16],Flash-2
1.000000,1.047922,44.947968
2.000000,1.779220,44.856319
3.000000,2.428665,45.029884
4.000000,2.956412,44.710911
5.000000,3.526239,44.891647
6.000000,4.133717,44.720127
7.000000,4.686214,44.916222
8.000000,5.289122,44.685310
9.000000,5.828487,44.689919
10.000000,6.409557,44.956161
11.000000,6.951205,44.958721
12.000000,7.505211,44.848129
13.000000,8.075264,44.897793
14.000000,8.626082,44.963326
15.000000,9.220915,44.834305
16.000000,9.731687,44.898819
17.000000,10.287900,44.900864
18.000000,10.829028,44.911102
19.000000,11.378431,44.880898
20.000000,11.923583,44.944386
21.000000,12.561280,44.963326
22.000000,13.089791,45.115391
23.000000,13.682250,44.926979
24.000000,14.239744,44.866562
25.000000,14.757034,44.954113
26.000000,15.304021,44.826622
27.000000,15.825409,44.964863
28.000000,16.341162,44.939774
29.000000,16.815615,44.911613
30.000000,17.367451,45.002754
31.000000,17.932697,44.904961
32.000000,18.449203,45.023743
33.000000,18.973492,45.030399
34.000000,19.544270,44.955135
35.000000,20.001589,44.884480
36.000000,20.504318,44.968960
37.000000,21.023232,44.969471
38.000000,21.527809,44.900352
39.000000,22.037247,45.046783
40.000000,22.529537,45.024769
41.000000,23.031296,44.950016
42.000000,23.525375,44.924927
43.000000,24.022015,44.951038
44.000000,24.501760,44.902397
45.000000,24.999680,44.878845
46.000000,25.490433,44.891647
47.000000,25.977514,44.903427
48.000000,26.544128,44.960258
49.000000,26.939392,44.909058
50.000000,27.493034,44.931583
