topk,Triton [FP16],Flash-2
1.000000,2.091253,374.201355
2.000000,4.675925,372.835327
3.000000,6.060471,375.645172
4.000000,7.433130,376.952820
5.000000,8.741479,376.797180
6.000000,10.067856,377.512970
7.000000,11.350271,378.084351
8.000000,12.559232,377.277435
9.000000,13.804835,378.473480
10.000000,15.125846,376.951813
11.000000,16.415573,373.919739
12.000000,17.695948,376.110077
13.000000,19.056026,375.564301
14.000000,20.366081,374.963196
15.000000,21.654528,373.925873
16.000000,22.999809,375.820282
17.000000,24.276993,372.584442
18.000000,25.602732,373.609467
19.000000,26.896042,373.477386
20.000000,28.269226,372.308990
21.000000,29.613398,371.811340
22.000000,30.850731,374.746124
23.000000,32.139606,373.903351
24.000000,33.411583,372.462585
25.000000,34.764290,373.460999
26.000000,36.098045,374.489075
27.000000,37.382656,373.370880
28.000000,38.657024,373.884918
29.000000,40.012802,374.509583
30.000000,41.342976,373.560333
31.000000,42.635777,373.762054
32.000000,43.906048,372.296692
33.000000,45.257217,373.908478
34.000000,46.594048,372.807678
35.000000,47.883263,374.519806
36.000000,49.141251,371.037170
37.000000,50.509823,373.337097
38.000000,51.836929,371.135498
39.000000,53.132290,371.796997
40.000000,54.421505,375.360504
41.000000,55.739391,373.345276
42.000000,57.086975,371.321869
43.000000,58.402817,371.837952
44.000000,59.650047,371.518463
45.000000,61.004799,373.756927
46.000000,62.340096,373.373962
47.000000,63.628288,371.822601
48.000000,64.894974,373.659637
49.000000,66.252800,371.844086
50.000000,67.593216,374.502411
