topk,Triton [FP16],Flash-2
0.000000,0.311540,44.870659
2.000000,1.794840,44.889088
4.000000,2.961532,44.959229
6.000000,4.150016,44.955650
8.000000,5.293703,44.904449
10.000000,6.531466,45.212158
12.000000,7.586895,44.884480
14.000000,8.721873,44.904449
16.000000,9.839514,44.924416
18.000000,10.947471,44.868607
20.000000,12.040631,45.095425
22.000000,13.135872,44.962303
24.000000,14.218824,44.968445
26.000000,15.286613,45.016579
28.000000,16.339285,44.911102
30.000000,17.476608,44.991997
32.000000,18.452068,44.915199
34.000000,19.482010,45.015549
36.000000,20.571136,44.907005
38.000000,21.522432,44.935680
40.000000,22.532608,44.928001
42.000000,23.521793,44.995583
44.000000,24.501247,44.899330
46.000000,25.486679,45.012482
48.000000,26.454355,44.947968
50.000000,27.427839,44.875263
52.000000,28.353876,44.875778
54.000000,29.311659,44.920834
56.000000,30.244181,44.913155
58.000000,31.168169,44.857857
60.000000,32.417450,44.901886
62.000000,32.986111,45.025791
64.000000,33.885185,44.872704
66.000000,34.769409,44.925949
68.000000,35.637249,44.950527
70.000000,36.881920,44.950016
72.000000,37.381119,44.958717
74.000000,38.224895,44.905983
76.000000,39.054848,44.982784
78.000000,39.902718,45.540352
