topk,Triton [FP16],Flash-2
0.000000,0.334244,101.027069
5.000000,3.351782,96.769630
10.000000,5.242344,98.634209
15.000000,7.243993,99.771423
20.000000,9.155650,100.213760
25.000000,11.192248,100.811905
30.000000,13.184110,100.588318
35.000000,15.207925,100.942818
40.000000,17.141672,100.793213
45.000000,19.196224,100.560417
50.000000,21.193089,99.689186
55.000000,23.052513,99.563843
60.000000,24.941078,100.969566
65.000000,26.914377,99.045982
70.000000,28.797653,98.388512
75.000000,30.903191,98.154976
80.000000,33.085758,98.243965
85.000000,35.218143,98.230370
90.000000,37.290497,98.606209
95.000000,38.931408,98.849892
100.000000,40.477200,99.106018
105.000000,42.510078,99.550369
110.000000,44.285793,99.488960
115.000000,46.067806,99.646500
120.000000,47.521027,98.732864
125.000000,49.865025,99.496124
130.000000,51.261826,100.129951
135.000000,52.483295,98.998016
140.000000,54.485664,98.975037
