topk,Triton [FP16],Flash-2
0.000000,0.608900,178.614273
5.000000,8.324608,179.439621
10.000000,15.108779,178.925568
15.000000,21.739006,179.078140
20.000000,28.335104,179.213318
25.000000,34.667007,179.391495
30.000000,41.275391,179.417084
35.000000,47.539711,180.404221
40.000000,53.672958,179.728378
45.000000,59.982849,181.433350
50.000000,66.450432,182.285309
55.000000,72.304642,184.625153
60.000000,78.837761,184.906754
65.000000,84.964355,183.141373
70.000000,91.210754,181.828613
75.000000,97.062912,181.773315
80.000000,103.353348,180.851715
85.000000,109.218819,182.078461
90.000000,114.375679,182.464508
95.000000,120.342529,181.974014
100.000000,127.038467,182.184967
105.000000,132.822021,183.732224
110.000000,138.260483,180.986877
115.000000,143.225861,182.152191
120.000000,147.776505,180.960251
125.000000,152.993790,181.365753
130.000000,157.956100,181.912582
135.000000,163.193863,180.979706
140.000000,168.201218,182.449158
